Offspring.ID,Loci.typed,Candidate.mother.ID,Loci.typed.1,Pair.loci.compared,Pair.loci.mismatching,Pair.LOD.score,Pair.Delta,Pair.confidence,Candidate.father.ID,Loci.typed.2,Pair.loci.compared.1,Pair.loci.mismatching.1,Pair.LOD.score.1,Pair.Delta.1,Pair.confidence.1,Trio.loci.compared,Trio.loci.mismatching,Trio.LOD.score,Trio.Delta,Trio.confidence,expt,tank,SpawnType,rep
Tank1_1,67,YJ55_1,67,60,0,10.4,10.4,*,YC98_2,72,65,0,5.59,5.59,*,65,0,20.8,20.8,*,1,1,factorial,1
Tank1_9,67,YG47_1,64,60,0,8.56,8.56,*,YC98_2,72,65,0,7.95,7.95,*,65,0,22.3,20.8,*,1,1,factorial,1
Tank1_17,66,YG47_1,64,59,0,9.97,9.97,*,YC98_2,72,64,0,4.66,4.66,*,64,0,20.6,20.6,*,1,1,factorial,1
Tank1_25,65,YG47_1,64,58,2,1.27,1.27,*,YA28_2,74,65,0,9.31,9.31,*,65,2,15.2,15.2,*,1,1,factorial,1
Tank1_33,66,YG47_1,64,59,0,8.01,8.01,*,YC98_2,72,64,0,5.93,5.93,*,64,0,18.8,14.8,*,1,1,factorial,1
Tank1_41,67,YJ55_1,67,60,2,0.213,0.213,*,YA28_2,74,67,0,12.7,12.7,*,67,2,15.7,15.7,*,1,1,factorial,1
Tank1_49,67,YG66_1,67,60,1,7.29,7.29,*,YC98_2,72,65,0,9.66,9.66,*,65,1,19.1,15.1,*,1,1,factorial,1
Tank1_57,67,YG47_1,64,60,0,10.2,10.2,*,YC98_2,72,65,0,7.17,7.17,*,65,0,23,23,*,1,1,factorial,1
Tank1_65,67,YG66_1,67,60,1,6.69,6.69,*,YC98_2,72,65,0,9.64,9.64,*,65,1,18.5,16.7,*,1,1,factorial,1
Tank1_73,67,YG66_1,67,60,1,0.44,0.44,*,YA28_2,74,67,0,9.98,9.98,*,67,1,17.8,15.9,*,1,1,factorial,1
Tank1_81,66,YJ55_1,67,60,0,10.4,10.4,*,YC98_2,72,64,0,7.27,7.27,*,64,0,23.3,23.3,*,1,1,factorial,1
Tank1_89,67,YG66_1,67,60,2,-3.51,0,,YA28_2,74,67,0,8.16,8.16,*,67,2,12.5,12.5,*,1,1,factorial,1
Tank1_2,65,YG47_1,64,58,0,10.4,10.4,*,YC98_2,72,63,0,7.3,7.3,*,63,0,23.8,23.8,*,1,1,factorial,1
Tank1_10,67,YJ55_1,67,60,0,12.4,12.4,*,YA28_2,74,67,0,12.1,12.1,*,67,0,29.8,29.8,*,1,1,factorial,1
Tank1_18,58,YG47_1,64,54,1,4.42,4.42,*,YA66_2,68,52,0,6.6,6.6,*,58,1,15.7,15.7,*,1,1,factorial,1
Tank1_26,67,YJ55_1,67,60,1,6.9,6.9,*,YA28_2,74,67,0,12.8,12.8,*,67,1,24.5,24.5,*,1,1,factorial,1
Tank1_34,67,YG47_1,64,60,1,6.51,6.51,*,YC98_2,72,65,1,1.55,1.55,*,65,1,16.8,16.8,*,1,1,factorial,1
Tank1_42,66,YG47_1,64,59,0,8.42,8.42,*,YC98_2,72,64,0,7.81,7.81,*,64,0,22.2,22.1,*,1,1,factorial,1
Tank1_50,67,YG47_1,64,60,1,3.07,3.07,*,YC98_2,72,65,1,-0.0994,0,,65,1,13.3,13.3,*,1,1,factorial,1
Tank1_58,67,YJ55_1,67,60,0,10.3,10.3,*,YA66_2,68,61,0,14.7,14.7,*,67,0,27.6,22.2,*,1,1,factorial,1
Tank1_66,67,YJ55_1,67,60,1,5.17,5.17,*,YA66_2,68,61,0,8.73,8.73,*,67,1,15.9,15.9,*,1,1,factorial,1
Tank1_74,67,YG66_1,67,60,1,7.4,7.4,*,YA66_2,68,61,0,8.88,8.88,*,67,1,18.9,13.9,*,1,1,factorial,1
Tank1_82,67,YG66_1,67,60,1,4.62,4.62,*,YA28_2,74,67,0,10.8,10.8,*,67,1,22.9,22.9,*,1,1,factorial,1
Tank1_90,67,YG66_1,67,60,1,6.08,6.08,*,YA66_2,68,61,0,9.16,9.16,*,67,1,16.9,11.5,*,1,1,factorial,1
Tank1_3,67,YG66_1,67,60,2,0.694,0.694,*,YA66_2,68,61,0,12.5,12.5,*,67,2,16.4,16.4,*,1,1,factorial,1
Tank1_11,66,YG66_1,67,59,1,6.98,6.98,*,YA66_2,68,60,0,10.6,10.6,*,66,1,19.9,19.9,*,1,1,factorial,1
Tank1_19,66,YG47_1,64,59,0,7.23,7.23,*,YC98_2,72,64,0,4.74,4.74,*,64,0,16.5,10.6,*,1,1,factorial,1
Tank1_27,67,YG66_1,67,60,1,6.71,6.71,*,YC98_2,72,65,0,8.58,8.58,*,65,1,17.9,17.9,*,1,1,factorial,1
