"expt","tank","dam","sire","SpawnType"
1,1,"YG47_1","YA66_2","factorial"
1,1,"YG66_1","YA66_2","factorial"
1,1,"YJ55_1","YA66_2","factorial"
1,1,"YG47_1","YA28_2","factorial"
1,1,"YG66_1","YA28_2","factorial"
1,1,"YJ55_1","YA28_2","factorial"
1,1,"YG47_1","YC98_2","factorial"
1,1,"YG66_1","YC98_2","factorial"
1,1,"YJ55_1","YC98_2","factorial"
1,2,"YK78_1","OB49_2","factorial"
1,2,"YO24_1","OB49_2","factorial"
1,2,"YR13_1","OB49_2","factorial"
1,2,"YK78_1","OG36_2","factorial"
1,2,"YO24_1","OG36_2","factorial"
1,2,"YR13_1","OG36_2","factorial"
1,2,"YK78_1","OB43_2","factorial"
1,2,"YO24_1","OB43_2","factorial"
1,2,"YR13_1","OB43_2","factorial"
1,3,"YX35_1","YB99_2","factorial"
1,3,"OC08_1","YB99_2","factorial"
1,3,"OI04_1","YB99_2","factorial"
1,3,"YX35_1","YB86_2","factorial"
1,3,"OC08_1","YB86_2","factorial"
1,3,"OI04_1","YB86_2","factorial"
1,3,"YX35_1","YB95_2","factorial"
1,3,"OC08_1","YB95_2","factorial"
1,3,"OI04_1","YB95_2","factorial"
1,4,"OR00_1","YF07_2","factorial"
1,4,"YA46_1","YF07_2","factorial"
1,4,"YB93_1","YF07_2","factorial"
1,4,"OR00_1","YD60_2","factorial"
1,4,"YA46_1","YD60_2","factorial"
1,4,"YB93_1","YD60_2","factorial"
1,4,"OR00_1","YG17_2","factorial"
1,4,"YA46_1","YG17_2","factorial"
1,4,"YB93_1","YG17_2","factorial"
1,5,"YD88_1","YH06_2","factorial"
1,5,"YD91_1","YH06_2","factorial"
1,5,"YF65_1","YH06_2","factorial"
1,5,"YD88_1","YH81_2","factorial"
1,5,"YD91_1","YH81_2","factorial"
1,5,"YF65_1","YH81_2","factorial"
1,5,"YD88_1","YH08_2","factorial"
1,5,"YD91_1","YH08_2","factorial"
1,5,"YF65_1","YH08_2","factorial"
1,6,"YF50_1","YI91_2","factorial"
1,6,"YK70_1","YI91_2","factorial"
1,6,"YK41_1","YI91_2","factorial"
1,6,"YF50_1","YI12_2","factorial"
1,6,"YK70_1","YI12_2","factorial"
1,6,"YK41_1","YI12_2","factorial"
1,6,"YF50_1","YI88_2","factorial"
1,6,"YK70_1","YI88_2","factorial"
1,6,"YK41_1","YI88_2","factorial"
1,7,"YL33_1","YC09_2","factorial"
1,7,"YL32_1","YC09_2","factorial"
1,7,"YN22_1","YC09_2","factorial"
1,7,"YL33_1","YL36_2","factorial"
1,7,"YL32_1","YL36_2","factorial"
1,7,"YN22_1","YL36_2","factorial"
1,7,"YL33_1","YN36_2","factorial"
1,7,"YL32_1","YN36_2","factorial"
1,7,"YN22_1","YN36_2","factorial"
1,8,"YO14_1","YJ77_2","factorial"
1,8,"YS14_1","YJ77_2","factorial"
1,8,"YT04_1","YJ77_2","factorial"
1,8,"YO14_1","YB20_2","factorial"
1,8,"YS14_1","YB20_2","factorial"
1,8,"YT04_1","YB20_2","factorial"
1,8,"YO14_1","OA63_2","factorial"
1,8,"YS14_1","OA63_2","factorial"
1,8,"YT04_1","OA63_2","factorial"
1,9,"YV10_1","OB46_2","factorial"
1,9,"YV08_1","OB46_2","factorial"
1,9,"YX26_1","OB46_2","factorial"
1,9,"YV10_1","OF13_2","factorial"
1,9,"YV08_1","OF13_2","factorial"
1,9,"YX26_1","OF13_2","factorial"
1,9,"YV10_1","OD35_2","factorial"
1,9,"YV08_1","OD35_2","factorial"
1,9,"YX26_1","OD35_2","factorial"
1,10,"OA62_1","YA98_2","factorial"
1,10,"OC33_1","YA98_2","factorial"
1,10,"OD11_1","YA98_2","factorial"
