ParentID,expt,tank,year,SpawnType,sex,PC
YG47_1,1,1,2021,factorial,F,38
YG66_1,1,1,2021,factorial,F,43
YJ55_1,1,1,2021,factorial,F,54
YA66_2,1,1,2021,factorial,M,1
YA28_2,1,1,2021,factorial,M,4
YC98_2,1,1,2021,factorial,M,18
YK78_1,1,2,2021,factorial,F,67
YO24_1,1,2,2021,factorial,F,82
YR13_1,1,2,2021,factorial,F,105
OB49_2,1,2,2021,factorial,M,158
OG36_2,1,2,2021,factorial,M,206
OB43_2,1,2,2021,factorial,M,158
YX35_1,1,3,2021,factorial,F,136
OC08_1,1,3,2021,factorial,F,170
OI04_1,1,3,2021,factorial,F,218
YB99_2,1,3,2021,factorial,M,12
YB86_2,1,3,2021,factorial,M,16
YB95_2,1,3,2021,factorial,M,9
OR00_1,1,4,2021,factorial,F,265
YA46_1,1,4,2021,factorial,F,3
YB93_1,1,4,2021,factorial,F,10
YF07_2,1,4,2021,factorial,M,37
YD60_2,1,4,2021,factorial,M,31
YG17_2,1,4,2021,factorial,M,41
YD88_1,1,5,2021,factorial,F,24
YD91_1,1,5,2021,factorial,F,27
YF65_1,1,5,2021,factorial,F,33
YH06_2,1,5,2021,factorial,M,46
YH81_2,1,5,2021,factorial,M,49
YH08_2,1,5,2021,factorial,M,50
YF50_1,1,6,2021,factorial,F,36
YK70_1,1,6,2021,factorial,F,65
YK41_1,1,6,2021,factorial,F,68
YI91_2,1,6,2021,factorial,M,51
YI12_2,1,6,2021,factorial,M,56
YI88_2,1,6,2021,factorial,M,58
YL33_1,1,7,2021,factorial,F,72
YL32_1,1,7,2021,factorial,F,73
YN22_1,1,7,2021,factorial,F,85
YC09_2,1,7,2021,factorial,M,21
YL36_2,1,7,2021,factorial,M,77
YN36_2,1,7,2021,factorial,M,79
YO14_1,1,8,2021,factorial,F,97
YS14_1,1,8,2021,factorial,F,115
YT04_1,1,8,2021,factorial,F,122
YJ77_2,1,8,2021,factorial,M,61
YB20_2,1,8,2021,factorial,M,2
OA63_2,1,8,2021,factorial,M,148
YV10_1,1,9,2021,factorial,F,127
YV08_1,1,9,2021,factorial,F,134
YX26_1,1,9,2021,factorial,F,144
OB46_2,1,9,2021,factorial,M,154
OF13_2,1,9,2021,factorial,M,187
OD35_2,1,9,2021,factorial,M,188
OA62_1,1,10,2021,factorial,F,153
OC33_1,1,10,2021,factorial,F,175
OD11_1,1,10,2021,factorial,F,190
YA98_2,1,10,2021,factorial,M,6
YA97_2,1,10,2021,factorial,M,7
YA55_2,1,10,2021,factorial,M,8
OD04_1,2,1,2021,pooled,F,190
YA94_1,2,1,2021,pooled,F,3
YR32_1,2,1,2021,pooled,F,105
OD50_2,2,1,2021,pooled,M,174
OL38_2,2,1,2021,pooled,M,243
YS44_2,2,1,2021,pooled,M,115
OC93_1,2,2,2021,pooled,F,172
YO83_1,2,2,2021,pooled,F,82
YH15_1,2,2,2021,pooled,F,51
OO57_2,2,2,2021,pooled,M,251
OS41_2,2,2,2021,pooled,M,273
YT31_2,2,2,2021,pooled,M,114
OB75_1,2,3,2021,pooled,F,166
YI55_1,2,3,2021,pooled,F,58
YP76_1,2,3,2021,pooled,F,97
OF14_2,2,3,2021,pooled,M,187
YS47_2,2,3,2021,pooled,M,112
YX05_2,2,3,2021,pooled,M,144
YJ12_1,2,4,2021,pooled,F,64
YT04_1,2,4,2021,pooled,F,122
YV44_1,2,4,2021,pooled,F,127
YG07_2,2,4,2021,pooled,M,38
YL75_2,2,4,2021,pooled,M,71
YT44_2,2,4,2021,pooled,M,123
YV73_1,3,1,2022,pooled,F,180
OA90_1,3,1,2022,pooled,F,187
OI49_1,3,1,2022,pooled,F,242
YH90_2,3,1,2022,pooled,M,44
YK42_2,3,1,2022,pooled,M,111
OJ91_2,3,1,2022,pooled,M,249
OA82_1,3,2,2022,pooled,F,180
OR75_1,3,2,2022,pooled,F,296
OL52_1,3,2,2022,pooled,F,248
YR26_2,3,2,2022,pooled,M,129
YO90_2,3,2,2022,pooled,M,118
YK66_2,3,2,2022,pooled,M,108
OB17_1,3,3,2022,pooled,F,197
OD62_1,3,3,2022,pooled,F,207
OK43_1,3,3,2022,pooled,F,258
ON47_2,3,3,2022,pooled,M,272
ON20_2,3,3,2022,pooled,M,271
YJ73_2,3,3,2022,pooled,M,87
OC92_1,3,4,2022,pooled,F,204
OX32_1,3,4,2022,pooled,F,322
OL22_1,3,4,2022,pooled,F,269
YS58_2,3,4,2022,pooled,M,145
YR77_2,3,4,2022,pooled,M,131
OI29_2,3,4,2022,pooled,M,239
OG36_1,3,5,2022,pooled,F,225
OD39_1,3,5,2022,pooled,F,208
OS55_1,3,5,2022,pooled,F,315
OG23_2,3,5,2022,pooled,M,229
OD72_2,3,5,2022,pooled,M,209
YX56_2,3,5,2022,pooled,M,170
OS48_1,3,6,2022,pooled,F,311
OL44_1,3,6,2022,pooled,F,251
OG43_1,3,6,2022,pooled,F,226
OI70_2,3,6,2022,pooled,M,241
OG75_2,3,6,2022,pooled,M,299
YS41_2,3,6,2022,pooled,M,134
